user_screen_name,id,user_id,source,created_at,retweet_count,favorite_count,text,in_reply_to_screen_name,in_reply_to_status_id,retweeted_status_id,retweeted_status_user_id,retweeted_status_user_screen_name
repjohnduncanjr,629006296046546948,1883356866,Mobile Web (M5),2015-08-05 19:09:22,0,0,"@SecretaryFoxx says when he gets back to Washington ""we're going to talk about Knoxville""",SecretaryFoxx,,,,
repjohnduncanjr,629005837055488001,1883356866,Mobile Web (M5),2015-08-05 19:07:32,0,0,@SecretaryFoxx says Alcoa Highway project critical http://t.co/iDnAoeXjJA,SecretaryFoxx,,,,
repjohnduncanjr,628990584582238208,1883356866,Mobile Web (M5),2015-08-05 18:06:56,1,1,@SecretaryFoxx with @MayorRogero @timburchett and @FlyKnoxville pres Bill Marrison http://t.co/YInlobuTps,SecretaryFoxx,,,,
repjohnduncanjr,628989686820671488,1883356866,Mobile Web (M5),2015-08-05 18:03:22,2,4,Welcome @SecretaryFoxx to #Knoxville @wbir @6News @wvlt @knoxnews http://t.co/z21pSkGLzj,,,,,
repjohnduncanjr,628202587536420864,1883356866,Twitter Web Client,2015-08-03 13:55:42,7,3,Michael Collins: Bipartisan support expected of criminal justice reform https://t.co/712RVXxvIs via @knoxnews,,,,,
repjohnduncanjr,626850317423017986,1883356866,Twitter Web Client,2015-07-30 20:22:16,2,0,Deep State America | The American Conservative http://t.co/G9oITqCYnD via @amconmag,,,,,
repjohnduncanjr,626069450232627200,1883356866,Twitter Web Client,2015-07-28 16:39:23,5,2,"Join me for #ConsituentDays. 1-on-1 meetings, first-come, first-served. Any topic. Leg. or help with Fed Agency. http://t.co/T31wAWSPlQ",,,,,
repjohnduncanjr,624202706471796736,1883356866,Twitter Web Client,2015-07-23 13:01:37,9,10,It's far past time to stop giving sanctuary to illegal immigrant criminals https://t.co/jPW6uwyU5u,,,,,
repjohnduncanjr,623554064534642693,1883356866,Twitter Web Client,2015-07-21 18:04:08,8,2,House flag at half staff in honor of victims of #chattanoogashooting #ChattanoogaStrong http://t.co/AwtXgtlFr1,,,,,
repjohnduncanjr,623481472163422208,1883356866,Twitter Web Client,2015-07-21 13:15:41,2,2,My latest newsletter should be hitting mailboxes later this week in the District. You can read it now on my website: http://t.co/hFPBKMwItr,,,,,
repjohnduncanjr,621728370309623810,1883356866,Twitter Web Client,2015-07-16 17:09:29,1,0,@amydclark Proud of my East Tennessee accent! http://t.co/ltNCEufCgG,amydclark,,,,
repjohnduncanjr,621390609778102272,1883356866,Twitter Web Client,2015-07-15 18:47:20,11,10,We have so many laws on the books people are being prosecuted for violating laws they didn’t even know existed. http://t.co/SsYzxE9k4E,,,,,
repjohnduncanjr,620964679125495808,1883356866,Twitter Web Client,2015-07-14 14:34:51,2,4,Local teacher chosen for C-SPAN educator's conference in D.C http://t.co/Oua6Y5XMw5 via @6News,,,,,
