user_screen_name,id,user_id,source,created_at,retweet_count,favorite_count,text,in_reply_to_screen_name,in_reply_to_status_id,retweeted_status_id,retweeted_status_user_id,retweeted_status_user_screen_name
reprichardneal,626743980185780224,442824717,Twitter Web Client,2015-07-30 13:19:43,9,2,"President Johnson signed #Medicare &amp; #Medicaid into law 50 years ago today, huge achievement adding years to life &amp; life to years.",,,,,
reprichardneal,626483195333242881,442824717,Twitter Web Client,2015-07-29 20:03:27,3,0,RT @sinnfeinireland: .@M_McGuinness_SF meeting Congressman .@RepRichardNeal on Capitol Hill today http://t.co/M9TKAuFKVd,,,626073362297556992,22628924,sinnfeinireland
reprichardneal,626483125036691457,442824717,Twitter Web Client,2015-07-29 20:03:11,1,0,RT @Martin_Dahinden: Enjoyed a great lunch with @RepRichardNeal the newest member of the #Swiss #Caucus on Capitol Hill! http://t.co/JhayBU…,,,626088972008165376,248119592,Martin_Dahinden
reprichardneal,622112934832041984,442824717,Twitter Web Client,2015-07-17 18:37:36,7,6,"Raised in #Springfield, graduate of Cathedral, Sgt Tommy Sullivan represented the best of what our city has to offer http://t.co/oSMLlCf0Jo",,,,,
reprichardneal,621324406879592448,442824717,Twitter Web Client,2015-07-15 14:24:16,1,2,I spoke on the House floor to mark the occasion of the #NewHorizons spacecraft reaching #Pluto. An amazing feat: http://t.co/tBmLxcQvRa,,,,,
reprichardneal,616577781313445888,442824717,Twitter for iPhone,2015-07-02 12:02:53,4,4,Lively morning here at Student Prince on @adamwrightshow as @WHYN560 has their big breakfast broadcasting here today http://t.co/EfeHRDXT6m,,,,,
reprichardneal,615885286984273924,442824717,Twitter Web Client,2015-06-30 14:11:09,5,3,Great tour of FloDesign in #Wilbraham yesterday w @SenWarren &amp; @EricLesser. So much innovation happening here in #CD1 http://t.co/kdANDHWkRN,,,,,
reprichardneal,613781318325936128,442824717,Twitter Web Client,2015-06-24 18:50:44,1,2,I met with Anya Sheldon of #Williamstown today at the @uscapitol as her award-winning art was unveiled http://t.co/s5WnxgBoAd,,,,,
reprichardneal,613778066347831296,442824717,Twitter Web Client,2015-06-24 18:37:49,1,6,Congrats to Cassandra Steele of #Westfield for winning @theaward Gold Medal http://t.co/kCvynuuBr3,,,,,
reprichardneal,613039309722157057,442824717,Twitter Web Client,2015-06-22 17:42:15,1,2,Happy to have @MassLtGov at #Springfield Union Station today to help announce final $12 mil funding: http://t.co/sI80PhYxia,,,,,
reprichardneal,608674157463785472,442824717,Twitter Web Client,2015-06-10 16:36:42,3,5,"Spoke at @NMTCCoalition last night. From #Pittsfield to #Holyoke to #Springfield, these tax credits work. http://t.co/lWFaIlPRD6",,,,,
reprichardneal,606119793029193728,442824717,Twitter Web Client,2015-06-03 15:26:34,1,6,Welcomed a terrific group of students from Fairview Middle School in #Chicopee to the Capitol this morning http://t.co/FCfwinCdqU,,,,,
reprichardneal,605472722488016898,442824717,Twitter Web Client,2015-06-01 20:35:20,1,0,"Listen to the @adamwrightshow on @WHYN560 tomorrow at 8:05am as I discuss the tornado anniversary, Pope Francis HS and the #PatriotAct",,,,,
reprichardneal,605431925889765377,442824717,Twitter Web Client,2015-06-01 17:53:14,3,1,"On the 4th anniversary of the June 1 tornado, I viewed recovery progress in #SpringfieldMA w Mayor Sarno &amp; @HUDgov http://t.co/iV72B3kUWQ",,,,,
reprichardneal,600404654405644288,442824717,Twitter Web Client,2015-05-18 20:56:39,3,4,Great morning visiting Berkshire Farms Market at @BostonLogan. Thanks to @Massport for bringing the 413 to the 617 http://t.co/1xObez7H56,,,,,
reprichardneal,598942945719537664,442824717,Twitter Web Client,2015-05-14 20:08:20,2,1,I'll be on the @adamwrightshow on @WHYN560 tomorrow morning at 8:05 discussing @repjohnlewis visit to the area &amp; @ElmsCollege this weekend,,,,,
reprichardneal,598573504041197569,442824717,Twitter Web Client,2015-05-13 19:40:18,3,2,Hosted @MassGovernor in DC today w/ rest of MA Delegation to talk state/federal issues #mapoli http://t.co/8t1LqJxRC7,,,,,
reprichardneal,597881308992446465,442824717,Twitter for iPhone,2015-05-11 21:49:46,3,2,Congratulations to Anya - her art will hang in the Capitol Building for an entire year on behalf of #CD1 https://t.co/Ctf0XucL0C,,,,,
reprichardneal,596379357762953217,442824717,Twitter Web Client,2015-05-07 18:21:33,4,3,"Also in #Holyoke, planted a heritage birch tree at Lawrence School with help from @MayorMorse @aaronmvega &amp; @ppcnet http://t.co/MstuhaHLr6",,,,,
reprichardneal,596378218690646016,442824717,Twitter Web Client,2015-05-07 18:17:02,0,1,"Toured Meridian Industrial Group in #Holyoke, precision manufacturing focusing on commercial, aerospace, &amp; defense http://t.co/iyjxPF66rn",,,,,
reprichardneal,595679860464492545,442824717,Twitter Web Client,2015-05-05 20:02:00,2,3,I am proud to say I've been a supporter of #Medicare &amp; #Medicaid from the start http://t.co/3cK9s3D47U via @masslivenews,,,,,
reprichardneal,595646813920763905,442824717,Twitter Web Client,2015-05-05 17:50:41,0,1,In #Longmeadow for groundbreaking at Jewish Geriatric Services &amp; awarding of a federal fire grant for fire dept http://t.co/bTAKe43pIl,,,,,
reprichardneal,595606968963833856,442824717,Twitter Web Client,2015-05-05 15:12:21,1757,0,RT @arneduncan: Teachers are unsung heroes of our society. Thank you teachers! #ThankATeacher #TeacherAppreciationWeek http://t.co/kYKwM2SK…,,,595341184161091584,44873497,arneduncan
reprichardneal,590541447050489858,442824717,Twitter Web Client,2015-04-21 15:43:47,2,0,Rice Fruit Farm in #Wilbraham has been rehabilitated and is reopen. Great work by the Maloni family. http://t.co/LzvoJ8R25r,,,,,
reprichardneal,590245301753110529,442824717,Twitter Web Client,2015-04-20 20:07:00,2,3,I'll be on the @adamwrightshow on @WHYN560 tomorrow at 8:05am talking about the new #Opioid Overdose Reduction Act.,,,,,
reprichardneal,589116882583744513,442824717,Twitter for iPhone,2015-04-17 17:23:04,2,1,"Continuing the convo on #STEM at a lunch w over 100 local business leaders, advocacy groups &amp; my friend @JayAshEOHED http://t.co/YpMNhFe53h",,,,,
