user_screen_name,id,user_id,source,created_at,retweet_count,favorite_count,text,in_reply_to_screen_name,in_reply_to_status_id,retweeted_status_id,retweeted_status_user_id,retweeted_status_user_screen_name
repwilson,629698352343445508,234014087,Twitter for iPhone,2015-08-07 16:59:21,12,4,#JoinRepWilson @ #NABJ today as she discusses efforts to #bringbackourgirls http://t.co/98z0VT8z2a,,,,,
repwilson,629442597124182016,234014087,Twitter for iPhone,2015-08-07 00:03:04,7,3,We're stronger together. #joinrepwilson to #bringbackourgirls! http://t.co/eLmGvQNwsa,,,,,
repwilson,629392523530629120,234014087,Twitter Web Client,2015-08-06 20:44:05,1,2,"As we commemorate the 50th anniversary of the Voting Rights Act #VRA50, Congress must protect the right to vote and #RestoreTheVRA.",,,,,
repwilson,629008982502313984,234014087,TweetDeck,2015-08-05 19:20:02,1,3,Too many FL parents can't afford to take unpaid time off to care for their families. We need #paidleave. #FAMILYAct,,,,,
repwilson,629006466507083778,234014087,TweetDeck,2015-08-05 19:10:02,1,2,The Family and Medical Leave Act passed 22 yrs ago today. Let's celebrate its impact on family &amp; work. #FMLA22,,,,,
repwilson,629005205649014784,234014087,TweetDeck,2015-08-05 19:05:02,0,2,"In Florida, 47.1% of the workforce lacks #paidsickdays. That is why I support the #HealthyFamiliesAct. #HFANow",,,,,
repwilson,628918825552093184,234014087,Twitter Web Client,2015-08-05 13:21:47,337,0,RT @Clyburn: The strength of our democracy rests upon the participation of every citizen. RT if you agree: @HouseGOP should join Dems to #R…,,,628903659523457025,188019606,Clyburn
repwilson,628917013528903680,234014087,Twitter for iPhone,2015-08-05 13:14:35,22,7,My commitment to #BringBackOurGirls stronger than ever after trip to Nigeria. #JoinRepWilson! http://t.co/xbXIwGGjsN,,,,,
repwilson,628914671588933632,234014087,Twitter Web Client,2015-08-05 13:05:17,2,2,The right to vote is the bedrock of our democracy. We must always protect it. We cannot allow it to erode. #VotingRightsNow! #RestoretheVRA!,,,,,
repwilson,628611604209401856,234014087,Twitter for iPhone,2015-08-04 17:01:00,4,2,"Happy Birthday, @barackobama! Thanks for being such a role model of excellence for all boys and young men.",,,,,
repwilson,627894637408190464,234014087,Twitter for iPhone,2015-08-02 17:32:01,29,14,Congress is in recess but my fight to #BringBackOurGirls continues! http://t.co/Aga2hhl25b,,,,,
repwilson,627199891173982208,234014087,Twitter Web Client,2015-07-31 19:31:21,1,0,Second Chance Pell Pilot is a huge first step toward ensuring more individuals get a second chance to turn their lives around. @arneduncan,,,,,
repwilson,627139519536611329,234014087,Twitter Web Client,2015-07-31 15:31:27,4,2,Still not giving up! #JoinRepWilson in effort to #BringBackOurGirls! http://t.co/T9ExTf7Wnw,,,,,
repwilson,627138614225432577,234014087,Twitter Web Client,2015-07-31 15:27:51,247,0,"RT @RepTerriSewell: Our vote is our voice, and no voice should be silenced. #RestoreTheVRA http://t.co/vd5ciSlJ6f",,,627123820491616256,381152398,RepTerriSewell
repwilson,626809860219256833,234014087,Twitter Web Client,2015-07-30 17:41:30,8,5,472 days have gone by and 219 girls are still missing. It's time to #BringBackOurGirls! #JoinRepWilson http://t.co/dkw6e0k8eA,,,,,
repwilson,626510295276650496,234014087,Twitter Web Client,2015-07-29 21:51:09,4,5,It was last #WearSomethingRedWednesday of the summer but we won't end our call to #BringBackOurGirls! #JoinRepWilson. http://t.co/jl6ZhqTA5J,,,,,
repwilson,626486744989466626,234014087,Twitter Web Client,2015-07-29 20:17:34,4,4,It was a joy to welcome this family from Florida that stepped up w/ @RepWilson in the call to #BringBackOurGirls! http://t.co/dWfswIhcx2,,,,,
repwilson,626483533805154304,234014087,TweetDeck,2015-07-29 20:04:48,1,2,Truck drivers need the #PayrollFraudPreventionAct to #EndMisclassification. @Teamsters @Change2Win http://t.co/Ld8IUMNWka,,,,,
