user_screen_name,id,user_id,source,created_at,retweet_count,favorite_count,text,in_reply_to_screen_name,in_reply_to_status_id,retweeted_status_id,retweeted_status_user_id,retweeted_status_user_screen_name
senatorbaldwin,630132732211908608,1074518754,Twitter for iPhone,2015-08-08 21:45:25,4,0,RT if you're also having #FOMO because you aren't at #Lambeau for @packers #FamilyNight.,,,,,
senatorbaldwin,630123551547359232,1074518754,Twitter for iPhone,2015-08-08 21:08:56,6,4,It's finally here! Hope everyone is ready for a great time at @packers #FamilyNight.,,,,,
senatorbaldwin,630118831801933824,1074518754,Twitter for iPhone,2015-08-08 20:50:11,4,0,RT @TheCauldron: GIF: Rory McIlroy on the practice range at Whistling Straights today in advance of the PGA http://t.co/birWy3szFE,,,630109878867005440,254714249,TheCauldron
senatorbaldwin,629817821694984192,1074518754,Twitter for iPhone,2015-08-08 00:54:04,6,12,No visit to the @wistatefair is compete without an iconic cream puff! #pufflove http://t.co/JEdG9K8kNG,,,,,
senatorbaldwin,629807590105591808,1074518754,Twitter for iPhone,2015-08-08 00:13:25,6,3,Our #GrownInWI farms have a bright future! Great to see so many enthusiastic young farmers at @wistatefair. http://t.co/0lE5RyQ1ED,,,,,
senatorbaldwin,629804660254183424,1074518754,Twitter for iPhone,2015-08-08 00:01:46,4,14,"Having a great time at the @wistatefair, a summer highlight every year. #WiStateFair http://t.co/vthNZNXFcB",,,,,
senatorbaldwin,629769970373783552,1074518754,TweetDeck,2015-08-07 21:43:56,35,21,I believe we are right to choose a path of international diplomacy. #IranDeal #Iran https://t.co/bxl8NhJY5a http://t.co/GlPXCo7ReS,,,,,
senatorbaldwin,629751701948485632,1074518754,TweetDeck,2015-08-07 20:31:20,12,14,I will support @TheIranDeal because it will best serve our national security interests &amp; it's built on verification. https://t.co/bxl8NhJY5a,,,,,
senatorbaldwin,629735580998443008,1074518754,Medium,2015-08-07 19:27:17,16,13,"Read why I’m supporting the Iran nuclear agreement, on @Medium https://t.co/yxEVLmHBP9 http://t.co/0bJwfq22LL",,,,,
senatorbaldwin,629731517284098048,1074518754,TweetDeck,2015-08-07 19:11:08,4,1,RELEASE: Baldwin Statement in response to @VetAffairsOIG report on death of Marine Jason Simcakoski at #Tomah VAMC http://t.co/nkGPzDnGFl,,,,,
senatorbaldwin,629624978388963328,1074518754,TweetDeck,2015-08-07 12:07:47,264,204,RELEASE: U.S. Senator Tammy Baldwin Statement in Support of #Iran Nuclear Agreement http://t.co/dtfvnFh0b1 http://t.co/LcT02Ihb2d,,,,,
senatorbaldwin,629489667537158144,1074518754,TweetDeck,2015-08-07 03:10:06,39,71,"We'll miss you, Jon! Thanks for 16 incredibly silly - and smart - years on @TheDailyShow. #JonVoyage http://t.co/0PYECnltjM",,,,,
senatorbaldwin,629394040039981057,1074518754,TweetDeck,2015-08-06 20:50:07,4,3,"FACT: The 40 million family caregivers in the US, provide an estimated $470 billion in uncompensated long-term care. http://t.co/Cm4Z39Sfdr",,,,,
senatorbaldwin,629382941622185984,1074518754,TweetDeck,2015-08-06 20:06:01,2,2,The RAISE Family Caregivers Act creates a national strategy &amp; plan to assist family caregivers. #Iheartcaregivers http://t.co/Cm4Z39Sfdr,,,,,
senatorbaldwin,629382465442856960,1074518754,TweetDeck,2015-08-06 20:04:07,1,4,"There are millions of Americans who care for their loved ones at home, day after day. Let's show them some love. #Iheartcaregivers",,,,,
senatorbaldwin,629377685282623489,1074518754,TweetDeck,2015-08-06 19:45:08,0,2,"Waterfronts are a critical asset for our quality of life in Wisconsin, as well as for our long term economic security http://t.co/7FshRXjMxx",,,,,
senatorbaldwin,629373943422435329,1074518754,TweetDeck,2015-08-06 19:30:15,2,2,The #GreatLakes are directly linked to more than 1.5 million US jobs &amp; $62 billion in annual wages! http://t.co/7FshRXjMxx,,,,,
senatorbaldwin,629367292007215104,1074518754,TweetDeck,2015-08-06 19:03:50,2,1,Boosting Wisconsin waterfront communities is not just an environmental goal - it's an economic necessity. #WIwater http://t.co/7FshRX2bFZ,,,,,
senatorbaldwin,629349223767670786,1074518754,TweetDeck,2015-08-06 17:52:02,0,3,.@WPR: Baldwin Looks To Create Grant Program For Waterfront Development http://t.co/hKkb5Qm8cu,,,,,
senatorbaldwin,629336214873616384,1074518754,TweetDeck,2015-08-06 17:00:20,9,12,We've seen the clocks turned back on the most fundamental of our American rights. It's time to #RestoretheVRA. #VRA50 http://t.co/vyYRMziaTU,,,,,
senatorbaldwin,629332382718390273,1074518754,TweetDeck,2015-08-06 16:45:07,12,9,Too many see their right to vote restricted. We didn’t stand for it 50yrs ago &amp; we won’t today. #RestoretheVRA #VRA50 http://t.co/Dgofe9c9U6,,,,,
senatorbaldwin,629331425364475904,1074518754,TweetDeck,2015-08-06 16:41:18,1,3,"So happy you could make it, @TiffanyWWilke! Glad you had a fun tour of the Capitol &amp; the chance to enjoy some good Kringle &amp; coffee.",TiffanyWWilke,629302694327525376,,,
senatorbaldwin,629331397065482240,1074518754,TweetDeck,2015-08-06 16:41:12,3,0,RT @TiffanyWWilke: Enjoyed chatting with @SenatorBaldwin and our U.S. Capitol tour! #OnWisconsin http://t.co/bTVHSfg0Re,,,629302694327525376,581182711,TiffanyWWilke
senatorbaldwin,629302170320384000,1074518754,TweetDeck,2015-08-06 14:45:03,2,3,Read more of what @SenShilling &amp; other Wisconsin leaders are saying about the Waterfront Community Act here: http://t.co/lwG3PDtUFZ,,,,,
senatorbaldwin,629301906138112000,1074518754,TweetDeck,2015-08-06 14:44:00,2,1,"La Crosse's @SenShilling: ""Protecting healthy shorelines &amp; investing in environmentally sound economic development are important issues.""",,,,,
senatorbaldwin,629295224167223296,1074518754,TweetDeck,2015-08-06 14:17:27,2,2,RELEASE: Baldwin Examines Challenges Facing Federal Prison System #CriminalJusticeReform http://t.co/G4Xo2ESoJ1,,,,,
senatorbaldwin,629277008350986240,1074518754,TweetDeck,2015-08-06 13:05:04,5,4,Join @AARP in support of the RAISE Family Caregivers Act by tweeting #Iheartcaregivers! http://t.co/Cm4Z39Sfdr http://t.co/tgrnk4ucHy,,,,,
senatorbaldwin,629064418970632193,1074518754,TweetDeck,2015-08-05 23:00:19,1,3,Support for the RAISE Family Caregivers Act is quickly building. See why so many people support this bipartisan bill: http://t.co/Cm4Z39Sfdr,,,,,
senatorbaldwin,629055049960796160,1074518754,TweetDeck,2015-08-05 22:23:05,2,4,The Waterfront Community Act is endorsed by @LaCrosseMayor Tim Kabat. Find out why he thinks this is a great bill: http://t.co/7FshRXjMxx,,,,,
senatorbaldwin,629045498150649856,1074518754,TweetDeck,2015-08-05 21:45:08,2,2,From @nbc15_madison: Push for the RAISE Family Caregivers Act http://t.co/rWWtCHkyIV,,,,,
senatorbaldwin,629040033949970432,1074518754,TweetDeck,2015-08-05 21:23:25,5,2,#ICYMI: Yesterday's hearing on #CriminalJusticeReform. WATCH HERE: https://t.co/o3smqQjD87,,,,,
senatorbaldwin,629011764202483712,1074518754,TweetDeck,2015-08-05 19:31:05,10,11,Access to #paidleave shouldn’t depend on where you live or work. It's time to advance #FMLA &amp; #LeadOnLeave. #FMLA22,,,,,
senatorbaldwin,629004222248255488,1074518754,TweetDeck,2015-08-05 19:01:07,11,9,"The #FMLA has helped millions of Americans for 22 years, now it’s time to expand its vision with #paidleave. #FAMILYAct #FMLA22",,,,,
senatorbaldwin,628998846694203392,1074518754,TweetDeck,2015-08-05 18:39:45,5,9,"Great to have @Piper, a fellow #Smithie, join yesterday's #criminaljusticereform hearing. https://t.co/o3smqQjD87",,,,,
senatorbaldwin,628988956340695042,1074518754,TweetDeck,2015-08-05 18:00:27,24,15,It's been three years since the tragic Sikh Temple shooting in Oak Creek. Let's come together today and #RememberOakCreek. #ChardiKala,,,,,
senatorbaldwin,628987038348505088,1074518754,TweetDeck,2015-08-05 17:52:50,3,0,RT @theprospect: Tammy Baldwin and Elijah Cummings are taking on the cozy Washington-Wall Street relationship. http://t.co/DWXzn0hZM9 http:…,,,628966254192123904,15949696,theprospect
senatorbaldwin,628983357909680130,1074518754,TweetDeck,2015-08-05 17:38:13,3,4,Boosting our waterfront communities is an environmental goal and an economic necessity. http://t.co/7FshRX2bFZ http://t.co/S2Qx4TXBHq,,,,,
senatorbaldwin,628962461354360832,1074518754,TweetDeck,2015-08-05 16:15:11,1,3,".@PWMayor: The Waterfront Community Act ""has the potential to be enormously impactful on communities like our own in Port Washington.”",,,,,
senatorbaldwin,628957687749943296,1074518754,TweetDeck,2015-08-05 15:56:12,3,5,Productive hearing on #HigherEd today. You can learn more about the #AmericasCollegePromise Act here --&gt; http://t.co/9uI5Ly2STv,,,,,
senatorbaldwin,628946582101204992,1074518754,TweetDeck,2015-08-05 15:12:05,3,0,RT @AFTHigherEd: Thanks again @SenatorBaldwin for introducing America's College Promise! 1st dollar support is what students need #HEA,,,628946495430107136,128291664,AFTHigherEd
